definition,id,part_of_speech,ruthes_name
,119290-N,N,ДРЕВНИЙ (ОЧЕНЬ СТАРЫЙ)
,150678-N,N,ПРЕДМЕТ ПО ФОРМЕ
,126809-N,N,БАТУТ
,2286-N,N,НЕФТЕПРОВОД
,113689-N,N,ПЛАНЕРИЗМ
,8919-N,N,ПАТОЛОГО-АНАТОМИЧЕСКОЕ ВСКРЫТИЕ
"то, что произошло однажды",106576-N,N,"ПРОИСШЕСТВИЕ, СЛУЧАЙ"
,147354-N,N,ОРЕХОВО-ЗУЕВСКИЙ РАЙОН
"внесистемная единица экспозиционной дозы радиоактивного облучения рентгеновским или гамма-излучением, определяемая по ионизирующей способности излучения",138109-N,N,РЕНТГЕН
,100261-N,N,БУРЕЯ
"спесивиться, зазнаваться, тщеславясь и требуя признания за собою каких-либо особых достоинств",117470-N,N,КИЧИТЬСЯ
,111727-N,N,ПЕДИКЮР
,125332-N,N,СОЗВЕЗДИЕ МАЛОЙ МЕДВЕДИЦЫ
,140768-N,N,ШЕФ-ПОВАР
,113996-N,N,НЕРУШИМЫЙ
,111933-N,N,УТЮГ
,136306-N,N,ГАЛЬВАНОТЕХНИКА
,6282-N,N,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО
,154139-N,N,АВТОМОБИЛЬНОЕ КОЛЕСО
,137814-N,N,ПРИМЕНЕНИЕ НА ПРАКТИКЕ
,148274-N,N,ВНУКИ И ВНУЧКИ
"судно, перевозящее пассажиров и транспортные средства между двумя берегами водной преграды",8279-N,N,ПАРОМ
,118070-N,N,РЕЙКА (ТОНКАЯ ДОСКА)
"встреча официальных лиц с представителями средств массовой информации, на которой излагается официальная позиция, делается короткое информационное сообщение по какой-либо проблеме (обычно — в отличие от пресс-конференции — без ответов на вопросы приглашенных)",6115-N,N,БРИФИНГ
прочно соединить,123846-N,N,СРАСТИТЬ ВМЕСТЕ
,8504-N,N,ГОСУДАРСТВЕННЫЙ СОВЕТНИК
"второй день недели; день, следующий за понедельником",110375-N,N,ВТОРНИК
,142823-N,N,ХАЗАРЫ (ПЛЕМЯ)
,143923-N,N,ЛИШЕНИЕ ПРАВА ЗАНИМАТЬ ОПРЕДЕЛЕННЫЕ ДОЛЖНОСТИ
,120684-N,N,ФРАНТ
,151228-N,N,ЛИКВИДНОСТЬ (ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ)
,143680-N,N,ЗАЩИТА ОТ СОЛНЕЧНЫХ ЛУЧЕЙ
"бедро, мышцы бедра",107724-N,N,БЕДРО НОГИ
,132455-N,N,ЛЕСОПИЛКА
"стремление добиться чьего-либо признания, одобрения",125004-N,N,ПРИТЯЗАНИЕ (СТРЕМЛЕНИЕ ПОЛУЧИТЬ ЧТО-Н.)
,135942-N,N,ГАЗОВАЯ ГОРЕЛКА
"выемочно-погрузочная машина для производства земляных и горных работ, рабочим элементом которой является ковш или система ковшей",5702-N,N,ЭКСКАВАТОР
,128127-N,N,МАРИАНСКИЕ ОСТРОВА
специально оборудованное помещение для хранения зерна,4668-N,N,ЗЕРНОХРАНИЛИЩЕ
в живописи - изображения с бытовым сюжетом,131005-N,N,ЖАНРОВАЯ ЖИВОПИСЬ
,151180-N,N,"ДЕВСТВЕННЫЙ, ЦЕЛОМУДРЕННЫЙ"
спортивная или коммерческая игра шарами на бильярдном столе с помощью специального деревянного стержня (кия),109580-N,N,БИЛЬЯРД (ИГРА)
,105605-N,N,ЮЖНАЯ ОСЕТИЯ
,106128-N,N,ГЕРМАНСКИЕ НАРОДЫ
,148459-N,N,НЕДОСТАТОК ИНФОРМАЦИИ
,142889-N,N,МИНИСТЕРСТВО ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И СВЯЗИ
,2604-N,N,РАЗВЕДЫВАТЕЛЬНОЕ УПРАВЛЕНИЕ
передать некую информацию при помощи телеграфа,115607-N,N,ТЕЛЕГРАФИРОВАТЬ
,142339-N,N,ИНСАЙДЕРСКАЯ ИНФОРМАЦИЯ
,2558-N,N,СЛЕДСТВЕННЫЙ РАБОТНИК
,145591-N,N,ДЕПОЗИТНАЯ ЯЧЕЙКА
,144182-N,N,ЛУК (РАСТЕНИЕ)
,141310-N,N,ПРОДВИГАТЬ (ДОБИВАТЬСЯ ОСУЩЕСТВЛЕНИЯ)
"вид кондитерских продуктов, изготовляемых с использованием плодов какао",5488-N,N,ШОКОЛАД
,117676-N,N,ПУНКТ (УЧРЕЖДЕНИЕ ИЛИ ОТДЕЛ)
,109844-N,N,ОРГАН ПИЩЕВАРЕНИЯ
,5790-N,N,ОБЛИЦОВЩИК
,119919-N,N,ОСЧАСТЛИВИТЬ
,101903-N,N,МИТИНО
,140671-N,N,РАЗОБЩЕННЫЙ (НЕ ИМЕЮЩИЙ СВЯЗИ)
,126386-N,N,КАЗУИСТИКА (РАССУЖДЕНИЕ)
,127242-N,N,ЩИПАТЬ ПЕРЬЯ
"соответствующий тому, что требуется и что должно быть",123454-N,N,"ПРАВИЛЬНЫЙ, СООТВЕТСТВУЮЩИЙ ПРАВИЛАМ"
"обеспечение безопасности, гарантия от чего-либо",147271-N,N,СТРАХОВОЧНОЕ УСТРОЙСТВО
"принятие на воспитание детей, лишившихся попечения родителей, с установлением между усыновлённым и усыновителем правовых (личных и имущественных) отношений, существующих между родителями и детьми",5100-N,N,УСЫНОВЛЕНИЕ
,106096-N,N,БАЙКАЛО-АМУРСКАЯ МАГИСТРАЛЬ
"тот, кто учреждает, создаёт что-либо",3148-N,N,УЧРЕДИТЕЛЬ
"сильнодействующий наркотик, получаемый из высушенного на солнце млечного сока, добываемого из недозрелых коробочек опийного мака",8495-N,N,ОПИУМ
"проживание, пребывание вдали, в отрыве от кого-либо, чего-либо",150415-N,N,ЖИЗНЬ В РАЗЛУКЕ
,135352-N,N,РЕЭМИГРАЦИЯ
,136237-N,N,ПОЛЬЗОВАТЕЛЬ ИНТЕРНЕТА
,10141-N,N,ТРАВМАТОЛОГ
,101354-N,N,ЛУЗА
,154341-N,N,ОРИЕНТИРОВКА (ОПИСАНИЕ)
,120440-N,N,УСМЕШКА
наибольшее значение какой-либо величины,106940-N,N,МАКСИМУМ
"приписывание себе каких-либо свойств, качеств, достоинств, и желание, чтобы эти свойства были признаны другими",141992-N,N,"ПРЕТЕНЗИИ, АМБИЦИИ"
,112956-N,N,ПАРФЮМЕРНАЯ ПРОДУКЦИЯ
,135129-N,N,СНАБЖЕНЕЦ
,137907-N,N,СОРВАТЬСЯ (НЕ СОСТОЯТЬСЯ)
,116335-N,N,"ОПУТАТЬ (ОБМОТАТЬ, ОБВЯЗАТЬ)"
,104114-N,N,ГЕНУЯ
,107005-N,N,"РИСОВАТЬ, ДЕЛАТЬ РИСУНОК"
"хорошо умеющий делать что-либо, искусный, обладающий умением, ловкий",117958-N,N,"ИСКУСНЫЙ, УМЕЛЫЙ"
помещение для приготовления пищи,107211-N,N,КУХНЯ (ПОМЕЩЕНИЕ)
,132289-N,N,ОДНОЛЕТНИЕ ТРАВЫ
,102301-N,N,ПАРА
,133570-N,N,ДВУКРЫЛОЕ НАСЕКОМОЕ
,108692-N,N,ПОРТВЕЙН
,6560-N,N,СВИДЕТЕЛЬСТВО О РОЖДЕНИИ
распространить среди многих,120458-N,N,РАЗНЕСТИ (РАСПРОСТРАНИТЬ)
,149539-N,N,МОБИЛЬНЫЙ КОМПЬЮТЕР
"результат такого действия; знак, сообщение и т. п., которые напоминают о чем-либо; предостерегающий признак, предвестие чего-либо",149869-N,N,"НАПОМИНАНИЕ (ТО, ЧТО НАПОМИНАЕТ)"
,142953-N,N,РЕЙТИНГ-ЛИСТ
"недоброжелательный, злой, имеющий плохой, неприятный характер",150519-N,N,ВРЕДНЫЙ ПО ХАРАКТЕРУ
,108046-N,N,ЖЕЛУДЬ
,126989-N,N,МИКРОКЛИМАТ (КЛИМАТ)
,136777-N,N,ГОРОД КАМЧАТСКОЙ ОБЛАСТИ
,137655-N,N,СЦЕНИЧЕСКИЙ МОНОЛОГ
,102736-N,N,ИЗОБИЛЬНЫЙ
,124322-N,N,СИНТЕТИЧЕСКИЙ НАРКОТИК
главная фигура,110005-N,N,ШАХМАТНЫЙ КОРОЛЬ
,6744-N,N,СЕКСУАЛЬНАЯ КУЛЬТУРА
,143858-N,N,ОТСТОЯТЬ НА РАССТОЯНИИ
,144254-N,N,ЛИМОННОЕ ДЕРЕВО
,105067-N,N,ДУРБАН
,100546-N,N,КАЛИНОВКА
,3100-N,N,ТЕХНИКА БЕЗОПАСНОСТИ
,155048-N,N,ЧЛЕН ВЫРАЖЕНИЯ
,101130-N,N,ПРАВДИНСК
,134587-N,N,РОГОВИДНЫЙ
"травянистое растение с крупными мечевидными листьями и крупными цветками фиолетовой, синей или желтой окраски",113467-N,N,ИРИС (ЦВЕТОК)
,9751-N,N,ШАРИКОВАЯ РУЧКА
,125001-N,N,СНАРЯЖЕНИЕ (ПРЕДМЕТЫ)
"способ создания рисунка, орнамента посредством нашивания, наклеивания на ткань, бумагу и т. п. кусочков ткани, бумаги и т. п. другого цвета или другой выделки",121225-N,N,АППЛИКАЦИЯ (РИСУНОК)
,114597-N,N,НЕРВНОЕ СОСТОЯНИЕ
денежная единица Японии,105074-N,N,ЯПОНСКАЯ ИЕНА
,1302-N,N,ПРАВОВАЯ ЗАЩИТА
"перемещаться, ездить или ходить по разным местам; скитаться, слоняться, бродить",151162-N,N,МОТАТЬСЯ ПО РАЗНЫМ МЕСТАМ
"план действия, работы",10175-N,N,ПЛАН ДЕЯТЕЛЬНОСТИ
"просить, умолять, выражать мольбу, просьбу",107345-N,N,МОЛИТЬ
,106364-N,N,ЮЖНАЯ КАРОЛИНА
"специальные краски, употребляемые для раскраски лица актёра, а также наклейки, накладки и т. п.",130725-N,N,ГРИМ АКТЕРСКИЙ
,9694-N,N,СИСТЕМНАЯ ПЛАТА
титул Адольфа Гитлера как руководителя государства фашистской Германии,123992-N,N,ФЮРЕР
,127302-N,N,ОСВЕЩЕННОСТЬ (СТЕПЕНЬ ОСВЕЩЕНИЯ)
"пакет из сложенного углами листа бумаги, в который вкладывают письмо, документы и т.п. для отправки куда-либо, для передачи кому-либо",145505-N,N,КОНВЕРТ
,5556-N,N,ТОЛСТОЛОБИК
,143123-N,N,РАСКОП
,133100-N,N,СОЛЕНАЯ РЫБА
"мужская половая клетка (гамета) животного организма и многих растений, служащая для оплодотворения яйцеклетки",110081-N,N,СПЕРМАТОЗОИД
,128913-N,N,ПРУЖИНА
монеты небольшого достоинства,105499-N,N,РАЗМЕННАЯ МОНЕТА
,116276-N,N,АССИСТИРОВАТЬ
"вести себя как позёр, фальшиво; принимать позу, стараться произвести впечатление своим поведением, словами, внешностью",125439-N,N,"РИСОВКА, ПОЗЕРСТВО"
,133405-N,N,МИКОБАКТЕРИЯ
"спокойное переживание утраты, душевная горечь",106661-N,N,ГРУСТЬ
,136645-N,N,КОНСТАНТИНОПОЛЬ
,140359-N,N,ОБЩЕСТВОВЕД
"должностное лицо, назначенное в какой-либо район (округ) другого государства (с его согласия) для защиты там интересов своей страны, её юридических лиц и граждан, содействия развитию политических, экономических, научных, культурных и прочих связей между представляемым и принимающим государствами, наблюдения и информации об экономическом положении и социально-политических процессах в районе своего пребывания",1076-N,N,КОНСУЛ
,126868-N,N,ЛАМПАДА
,107425-N,N,КАНАВА
,7491-N,N,РАКЕТНАЯ УСТАНОВКА
,110959-N,N,СМОЛА ДЕРЕВА
,140027-N,N,СОЦИАЛЬНО-ПРОФЕССИОНАЛЬНАЯ ГРУППА
,7470-N,N,ЗЕНИТНО-РАКЕТНЫЙ КОМПЛЕКС
,109660-N,N,НЕЙЛОН
,134977-N,N,ПРЕДПРИНИМАТЕЛЬСТВО БЕЗ ОБРАЗОВАНИЯ ЮРИДИЧЕСКОГО ЛИЦА
,119367-N,N,НИКЧЕМНЫЙ
,6444-N,N,ЛИКВИДАЦИЯ ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ
,120443-N,N,БЕЗЫНИЦИАТИВНЫЙ
деталь машины или механизма в виде продолговатого стержня,117833-N,N,ПАЛЕЦ МЕХАНИЗМА
,106323-N,N,АРИЗОНА
"неизвестный ранее, необычный",138442-N,N,"НЕПРИВЫЧНЫЙ (НОВЫЙ, ЧУЖДЫЙ ДЛЯ КОГО-ЛИБО)"
материальная помощь,121476-N,N,ПОСОБИЕ (ПОМОЩЬ)
"кусок, обрывок ткани",129325-N,N,"ЛОСКУТ ТКАНИ, КОЖИ"
,118885-N,N,КЛЕЙКИЙ
,139428-N,N,ТУЛЯКИ
,2867-N,N,ВОЕННЫЙ СУД
,141926-N,N,МЯГКАЯ ДРЕВЕСИНА
"правоверие, неуклонное следование традиционному учению Церкви",153664-N,N,ОРТОДОКСИЯ
,144962-N,N,КОНТЕЙНЕРОВОЗ
,111383-N,N,"ЛОСИНА, ЛОСЬЯ КОЖА"
,5884-N,N,ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА
"делать донос, предавать",138579-N,N,ВЫДАТЬ (ПРЕДАТЬ)
"древняя могильная насыпь из земли или камней, обычно полусферической или конической формы",107637-N,N,КУРГАННЫЙ МОГИЛЬНИК
,118044-N,N,РАССТРОЙСТВО ФУНКЦИИ
,111441-N,N,ШПАГАТ (ГИМНАСТИЧЕСКОЕ УПРАЖНЕНИЕ)
совершать круговое движение относительно собственной оси либо вокруг какого-либо объекта,111190-N,N,ВРАЩЕНИЕ (ДВИЖЕНИЕ)
"тонкий, как правило, не совсем ровный или гладкий, металлический стержень; кусок толстой проволоки",120485-N,N,МЕТАЛЛИЧЕСКИЙ ПРУТ
,9610-N,N,КРАЕВЕД
,127223-N,N,УТОНЧИТЬСЯ
,101703-N,N,ЛИПЕЦК
,3847-N,N,ИЗБИРАТЕЛЬНЫЙ ОКРУГ
,115941-N,N,РАСТЕРЕТЬ ПО ПОВЕРХНОСТИ
"перемещаясь, сохранять определённое направление, выбранный курс",116035-N,N,"НАПРАВИТЬСЯ, СЛЕДОВАТЬ В НАПРАВЛЕНИИ"
,103976-N,N,БАГДАД
"место для выбрасывания отходов, мусора и т. п.",128110-N,N,ПОМОЙКА ДЛЯ МУСОРА
"записная книжка или тетрадь, состоящая из отрывных листков",121445-N,N,БЛОКНОТ
,111506-N,N,ПОМЕЩЕНИЕ ДЛЯ ЖИВОТНЫХ
"независимая экспертиза финансовой отчётности какого-либо предприятия, или учреждения, какой-либо компании, проводимая аудиторами; аудиторская проверка, аудит",1240-N,N,АУДИТОРСКАЯ ДЕЯТЕЛЬНОСТЬ
юноша или девушка в переходном возрасте (от 13 до 19 лет),4022-N,N,ПОДРОСТОК
,900-N,N,НЕПОЛНЫЙ РАБОЧИЙ ДЕНЬ
,120677-N,N,БОРОЗДКА (НЕГЛУБОКОЕ ПРОДОЛЬНОЕ УГЛУБЛЕНИЕ)
,129093-N,N,"СИМВОЛИЗИРОВАТЬ, СЛУЖИТЬ СИМВОЛОМ"
"преступник, занимающийся изготовлением и сбытом фальшивых денег",9901-N,N,ФАЛЬШИВОМОНЕТЧИК
специалист по пиару,128539-N,N,ИМИДЖМЕЙКЕР
,132164-N,N,ИНКВИЗИЦИЯ
,106070-N,N,"ЛЕНИНСК, ГОРОД КАЗАХСТАНА"
"подкреплять растения в период роста и развития необходимыми питательными веществами, внося в почву соответствующие удобрения",117293-N,N,ПОДКОРМКА РАСТЕНИЙ
"иерархия в системе классификации живых организмов, часть более крупного подразделения — рода",127597-N,N,БИОЛОГИЧЕСКИЙ ВИД
"инструмент для измерения времени в единицах, меньших, чем одни сутки",110206-N,N,ЧАСЫ
"доска, плита, вделанная в нижнюю часть оконного проёма",139470-N,N,ПОДОКОННИК
,2224-N,N,УГОЛОВНОЕ ПРАВО
,114569-N,N,"ВПУСТИТЬ, ПУСТИТЬ ВНУТРЬ"
,5798-N,N,ОВЧИНА
,115101-N,N,ВСКИНУТЬ (ПОДНЯТЬ БЫСТРЫМ ДВИЖЕНИЕМ)
,113368-N,N,ПРОПЕЛЛЕР
,113644-N,N,ЕЗДОК
,2971-N,N,УГОЛОВНОЕ НАКАЗАНИЕ
"единица измерения площади, равная пощади квадрата со стороной в 1 метр",129662-N,N,КВАДРАТНЫЙ МЕТР
"травянистое растение семейства луковых, используемое в пищу в качестве приправы",144183-N,N,ЧЕСНОК
,139376-N,N,НЕИЗБЫВНЫЙ (НЕИСТРЕБИМЫЙ)
,148108-N,N,ПРЕПАРАТ ИЗ КОРНЕЙ РАСТЕНИЯ
,125850-N,N,ГАРДЕРОБЩИК
,4932-N,N,ЛОСОСЕВЫЕ РЫБЫ
,110404-N,N,СУЛЬФАТ
,137569-N,N,СЕРДЕЧНЫЙ ПРИСТУП
,7613-N,N,ГРИФ СЕКРЕТНОСТИ
"неприязненное отношение ко всему еврейскому, к самим евреям",8099-N,N,АНТИСЕМИТИЗМ
,1419-N,N,ИЗОБРАЗИТЕЛЬНОЕ ИСКУССТВО
,103757-N,N,ДРАХМА
"приходить в неисправное состояние, в негодность; портиться",120045-N,N,"ПОВРЕДИТЬСЯ, ПРИЙТИ В НЕИСПРАВНОСТЬ"
,137293-N,N,АВИАШОУ
"в армии — неуставные отношения между военнослужащими с разным стажем службы, заключающиеся в издевательствах, насилии, различии способов ношения военной формы и т. п.",9133-N,N,НАРУШЕНИЕ УСТАВНЫХ ПРАВИЛ ВЗАИМООТНОШЕНИЙ
"временной промежуток наибольшей загруженности (на транспорте, в магазине и т. п.)",136397-N,N,ЧАС ПИК
,4351-N,N,БЕРЕЗА
,136762-N,N,ГОРОД БЕЛГОРОДСКОЙ ОБЛАСТИ
,102025-N,N,НЕРСКАЯ
,100839-N,N,СУПОЙ
,8046-N,N,СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ
,129401-N,N,УХОЖЕННЫЙ ВИД
"сельскохозяйственное орудие для срезания растений, крепящийся на ручке дугообразный нож с острой зазубренной внутренней кромкой",152894-N,N,СЕРП (СЕЛЬСКОХОЗЯЙСТВЕННОЕ ОРУДИЕ)
"тот, кто идет или едет по одному с кем-либо пути; спутник",120690-N,N,"ПОПУТЧИК, ПОПУТЧИЦА"
"прибивание, приколачивание, насаживание чего-либо куда-либо",126461-N,N,НАБИТЬ (НАСАДИТЬ)
,123925-N,N,ЗВУКИ РЕЧИ
,1219-N,N,ТОВАРЫ БЫТОВОЙ ХИМИИ
,126415-N,N,КАРМИН (КРАСКА)
,104523-N,N,РИАЛ (ДЕН. ОМАНА)
,107197-N,N,ДОЛЯ (ЧАСТЬ)
"разделить чем-нибудь режущим на части, вскрыть какую-нибудь часть тела, нарушить целость какой-нибудь ткани чем-нибудь режущим",107412-N,N,"РЕЗАТЬ, ПОРЕЗАТЬ"
,143736-N,N,СПОРТСМЕН-ИНВАЛИД
"создавать (создать), основывать (основать), учреждать (учредить)",120105-N,N,"ОРГАНИЗОВАТЬ, СКОЛОТИТЬ"
,152014-N,N,ЛЕДОВЫЕ ВИДЫ СПОРТА
,108327-N,N,КАСТЕТ
,107342-N,N,ГЛЫБА
,142935-N,N,ВПЛЕСТИ (ВКЛЮЧИТЬ)
,138806-N,N,КЕМБРИДЖСКИЙ  УНИВЕРСИТЕТ
,141571-N,N,САТАНИЗМ
,145102-N,N,ЖАЛОБА НА РЕШЕНИЕ СУДА
,5504-N,N,ШИФЕР
,114939-N,N,СОМНАМБУЛА
,142783-N,N,СЫРЕЦ (ПОЛУФАБРИКАТ)
,129919-N,N,ФИНАНСОВОЕ ПРЕСТУПЛЕНИЕ
,148796-N,N,МУЗЫКАЛЬНОЕ ИСПОЛНЕНИЕ
"небольшой, обычно стеклянный сосуд на тонкой ножке для питья спиртных напитков",107075-N,N,РЮМКА (ПОСУДА)
,140187-N,N,ПРИБОР НОЧНОГО ВИДЕНИЯ
,147344-N,N,ЛЕНИНСКИЙ РАЙОН МОСКОВСКОЙ ОБЛАСТИ
"слишком длительный, неоправлданно долгий",136944-N,N,ЗАТЯНУТЫЙ (СЛИШКОМ ПРОДОЛЖИТЕЛЬНЫЙ)
,153123-N,N,ПЛАСТИКОВАЯ ПУЛЯ
"небрежная беспечность, безответственное отношение",120873-N,N,ХАЛАТНЫЙ (НЕБРЕЖНЫЙ И НЕДОБРОСОВЕСТНЫЙ)
"отказаться от своих намерений, планов и т. п., встретившись с какими-либо трудностями, препятствиями, опасностью и т. п.",128181-N,N,"ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ"
,5428-N,N,ПЕРЕЖИВШИЙ СУПРУГ
,127510-N,N,ПЕРЕРАСТИ (ПРЕВРАТИТЬСЯ)
,137443-N,N,ПРИМЕТНЫЙ (ВИДИМЫЙ)
,127300-N,N,ОРУЖЕЙНЫЙ МАСТЕР
,140911-N,N,ПОСЕЩАЕМОСТЬ
,2564-N,N,ТЕЛЕФОНИЗАЦИЯ
,136240-N,N,НЕРАЗБОРЧИВЫЙ (НЕТРЕБОВАТЕЛЬНЫЙ)
,104719-N,N,АППАЛАЧИ
,144262-N,N,БАКЛАЖАН (РАСТЕНИЕ)
"поименованная величина, способная принимать различные числовые значения",125063-N,N,ПЕРЕМЕННАЯ ВЕЛИЧИНА
,153474-N,N,АНЕВРИЗМА
,148926-N,N,РЕВОЛЮЦИОНЕР (ПЕРВООТКРЫВАТЕЛЬ)
"тот, кто занимается приготовлением пищи",6006-N,N,ПОВАР
,4773-N,N,ЖИТЕЛЬ ГОРОДА
,6528-N,N,СОТРУДНИК УГОЛОВНО-ИСПОЛНИТЕЛЬНОЙ СИСТЕМЫ
,149418-N,N,ИМИТАЦИЯ (ПРОИЗВЕДЕНИЕ ИСКУССТВА)
,110306-N,N,КОВШ (ПОСУДА)
"тот, кто находится под опекой, тот, за кем присматривают",7819-N,N,ПОДОПЕЧНОЕ ЛИЦО
,137360-N,N,СПОРТИВНЫЙ КЛУБ
"отмечать себя, свое имя, фамилию в списке; регистрироваться",128304-N,N,ВСТАТЬ НА УЧЕТ
кольцо для пальца руки с каким-нибудь драгоценным камнем,107632-N,N,ПЕРСТЕНЬ
,102205-N,N,ВОЗНЕСЕНСК
,147617-N,N,РАЗРЕШЕНИЕ СПОРОВ
быстрый танец с прыжками,109867-N,N,ПОЛЬКА (ТАНЕЦ)
,151672-N,N,НАРАЩИВАНИЕ ВОЛОС
,121449-N,N,ВОЗБУЖДЕННЫЙ
,133947-N,N,ПОДСАДИТЬ (ПОМОЧЬ ВЗОБРАТЬСЯ)
"нелепый, мизерный",119179-N,N,"СМЕШНОЙ, СМЕХОТВОРНЫЙ"
,119369-N,N,БЕСЧЕСТНЫЙ
"вертикальное (поперечное или продольное) сечение, разрез какого-либо участка, поверхности, предмета",142801-N,N,ПРОФИЛЬ (СЕЧЕНИЕ)
"затворить, задвинуть двери или другие подобные преграды, а также опустить, наложить или надеть крышку либо другой непроницаемый объект на что-либо с целью затруднить доступ и обеспечить сохранность.",151497-N,N,ЗАКРЫТЬ ДОСТУП
,112849-N,N,ПРАЗДНИЧНАЯ ИЛЛЮМИНАЦИЯ
"группа участников спортивного состязания, одна из борющихся сторон, подчиненная своему капитану",6067-N,N,СПОРТИВНАЯ КОМАНДА
,146665-N,N,СТОКОВЫЙ МАГАЗИН
,142146-N,N,"ПРИЗЫВ, ЛОЗУНГ"
,106272-N,N,БАКИНЦЫ
,102810-N,N,МОРШАНСК
,110809-N,N,ПРИБАВИТЬ (УВЕЛИЧИТЬ)
,103583-N,N,СУОНСИ
,120361-N,N,"ОБШИРНЫЙ ПО ОБЪЕМУ, СОДЕРЖАНИЮ"
,106340-N,N,МАССАЧУСЕТС (ШТАТ США)
,148152-N,N,ЧЕРКЕССКИЙ ЯЗЫК
в ряде стран — административно-территориальная единица,140528-N,N,ПРОВИНЦИЯ (АДМИНИСТРАТИВНАЯ ЕДИНИЦА)
официальное обращение к мужчине,141615-N,N,ГРАЖДАНИН (ОБРАЩЕНИЕ К МУЖЧИНЕ)
,104830-N,N,ФИНЛЯНДИЯ
"хитрый, вёрткий, изворотливый, хваткий",119243-N,N,"ЛОВКИЙ, ПРОНЫРЛИВЫЙ"
,151404-N,N,"РАСКОПАТЬ (НАЙТИ, КОПАЯ)"
"окраска, освещение неба над горизонтом при заходе солнца",145731-N,N,ВЕЧЕРНЯЯ ЗАРЯ
"сорт войлока, изготовляемый из тонкого пуха кроликов или коз",109511-N,N,ФЕТР
,105998-N,N,НОВОГРАД-ВОЛЫНСКИЙ
автомобильный рынок,129846-N,N,РЫНОК АВТОМОБИЛЕЙ
крышка моторного отсека транспортного средства,108798-N,N,КАПОТ МАШИНЫ
,139712-N,N,НЕСОГЛАСОВАННОСТЬ ДЕЙСТВИЙ
"прямая черта на бумаге, доске и т. п., помогающая писать ровными строками, делать нужный наклон букв",113718-N,N,ЛИНЕЙКА (ПРЯМАЯ ЧЕРТА)
,127645-N,N,ПРИЕМНОЕ ОТДЕЛЕНИЕ БОЛЬНИЦЫ
,1590-N,N,БИБЛИОГРАФИЯ
,147702-N,N,КОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ С ГОСУДАРСТВЕННЫМ УЧАСТИЕМ
,144848-N,N,АТЛАНТИК-СИТИ
,100891-N,N,ДОНЕЦКАЯ ОБЛ. УКРАИНЫ
,100837-N,N,ДРУТЬ
"название шестого дня недели, предшествующего воскресенью",110399-N,N,СУББОТА
устройство хранения данных в компьютере,143950-N,N,ЗАПОМИНАЮЩЕЕ УСТРОЙСТВО
,3858-N,N,АКЦЕПТНЫЙ РАСЧЕТ
,141606-N,N,ТЕХНИЧЕСКИЕ СРЕДСТВА ДЛЯ НЕГЛАСНОГО ПОЛУЧЕНИЯ ИНФОРМАЦИИ
,114108-N,N,ПЕЧАТАТЬ (ВОСПРОИЗВОДИТЬ)
"тот, кто подстрекает, побуждает к недозволенным, предосудительным поступкам, преступным действиям, занимается подстрекательством",5899-N,N,ПОДСТРЕКАТЕЛЬ
"преступная подкупность, продажность должностных лиц и общественных деятелей",660-N,N,КОРРУПЦИЯ
,139690-N,N,ОФИСНАЯ РАБОТА
отделять (отделить) одно вещество от другого с помощью сепаратора ПРИМЕР:,145451-N,N,СЕПАРАЦИЯ СМЕСИ
развалиться на мелкие части,120979-N,N,РАСПАСТЬСЯ (РАЗВАЛИТЬСЯ)
"произведение живописи на холсте, картина",112637-N,N,ХОЛСТ (КАРТИНА)
,1412-N,N,ТВОРЧЕСКИЙ РАБОТНИК
,100752-N,N,ГРУЗИЯ
,3293-N,N,ЖЕЛЕЗНОДОРОЖНЫЕ ПЕРЕВОЗКИ
"точный, тщательный, тщательно выполненный",129533-N,N,АККУРАТНО ВЫПОЛНЕННЫЙ
,149570-N,N,БРОНЗОВАЯ МЕДАЛЬ
,119046-N,N,"СУХОЙ (СКУПОЙ, ЛАКОНИЧНЫЙ)"
"неосуществимость, невыполнимость чего-либо",118833-N,N,"НЕВОЗМОЖНЫЙ (НЕОСУЩЕСТВИМЫЙ, НЕВЫПОЛНИМЫЙ)"
"вызывающий отвращение; противный, гадкий, мерзкий",118920-N,N,ОТВРАТИТЕЛЬНЫЙ (НЕПРИЯТНЫЙ)
,126987-N,N,"МИДИ (ЮБКА, ПЛАТЬЕ, ПАЛЬТО СРЕДНЕЙ ДЛИНЫ)"
"одно из органических соединений, состоящих из углерода, кислорода и водорода и необходимых для жизнедеятельности животных и растительных организмов",108767-N,N,УГЛЕВОДЫ
,7412-N,N,ВИЦЕ-ПРЕЗИДЕНТ
"c шумом ударять, бить",117977-N,N,"БАХНУТЬ, БУХНУТЬ"
,5471-N,N,ГИДРОГРАФИЯ
,127472-N,N,ПЕНАЛ ДЛЯ РУЧЕК И КАРАНДАШЕЙ
,103461-N,N,БИРМА
,103445-N,N,ЛЬЕЖ
