,child_id,parent_id,child_context,parent_context
26308,АМОРТИЗАЦИЯ ИМУЩЕСТВА,ИЗДЕРЖКИ ПРОИЗВОДСТВА,,
26309,ОПЛАТА ТРУДА,ИЗДЕРЖКИ ПРОИЗВОДСТВА,,
26310,ТЕМБР ГОЛОСА,ОТТЕНОК (РАЗНОВИДНОСТЬ),,
26311,ОТТЕНОК ЦВЕТА,ОТТЕНОК (РАЗНОВИДНОСТЬ),,
26312,"НОТА, ТОН РЕЧИ",ОТТЕНОК (РАЗНОВИДНОСТЬ),,
26313,ПРИМЕСЬ (ДОБАВЛЕНИЕ К ЧЕМУ-Л.),ОТТЕНОК (РАЗНОВИДНОСТЬ),,
26314,ИЗГИБ (ОТТЕНОК),ОТТЕНОК (РАЗНОВИДНОСТЬ),,
26315,ВУЛКАН,ГЕОЛОГИЧЕСКИЙ ОБЪЕКТ,,
26316,ПЕЩЕРА,ГЕОЛОГИЧЕСКИЙ ОБЪЕКТ,,
26317,ДОМЫСЕЛ,ДОГАДКА,,
26318,ПРАВОЦЕНТРИЗМ,ЦЕНТРИЗМ,,
26319,ЛЕВОЦЕНТРИЗМ,ЦЕНТРИЗМ,,
26320,ПАТРИОТИЗМ,ДУХОВНЫЕ ЦЕННОСТИ,,
26321,"ДОСТОЯНИЕ, ДУХОВНОЕ НАСЛЕДИЕ",ДУХОВНЫЕ ЦЕННОСТИ,,
26322,КОЛЛЕКТИВИЗМ,ДУХОВНЫЕ ЦЕННОСТИ,,
26323,МОРАЛЬНЫЕ ЦЕННОСТИ,ДУХОВНЫЕ ЦЕННОСТИ,,
26324,СМЫСЛ ЖИЗНИ,ДУХОВНЫЕ ЦЕННОСТИ,,
26325,СКОРОГОВОРКА,ФРАЗА (ВЫСКАЗЫВАНИЕ),,
26326,ЯЗЫКОВОЕ КЛИШЕ,ФРАЗА (ВЫСКАЗЫВАНИЕ),,
26327,НЕГОДЯЙ,ЗЛОДЕЙ,,
26328,ЖЕСТОКИЙ ЧЕЛОВЕК,ЗЛОДЕЙ,,
26329,НЕФТЕХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,,
26330,ГОРНОХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,,
26331,КОБУРА,ФУТЛЯР,,
26332,НОЖНЫ,ФУТЛЯР,,
26333,КОЖУХ УСТРОЙСТВА,ФУТЛЯР,,
26334,КОЛЧАН ДЛЯ СТРЕЛ,ФУТЛЯР,,
26335,МЫЛЬНИЦА,ФУТЛЯР,,
26336,ВЫДЕЛКА ТКАНИ,"РЕЛЬЕФ, РЕЛЬЕФНОЕ ИЗОБРАЖЕНИЕ",,
26337,КОРМЛЕНИЕ МЛАДЕНЦА,ВЫКОРМИТЬ (ВЫРАСТИТЬ),,
26338,ШТАТИВНАЯ СТОЙКА,ОПОРНАЯ СТОЙКА,,
26339,ИНСУЛИН,ГОРМОН,,
26340,АДРЕНАЛИН,ГОРМОН,,
26341,ПОЛОВЫЕ ГОРМОНЫ,ГОРМОН,,
26342,РЕЙТИНГ ПОПУЛЯРНОСТИ,РЕЙТИНГ,,
26343,ДЕФИЦИТ ДЕНЕЖНЫХ СРЕДСТВ,ОСТРЫЙ НЕДОСТАТОК,,
26344,ПРОТИВОВЕС (ГРУЗ),ГРУЗ (ТЯЖЕЛЫЙ ПРЕДМЕТ),,
26345,ГРУЗИЛО,ГРУЗ (ТЯЖЕЛЫЙ ПРЕДМЕТ),,
26346,БАЛЛАСТНЫЙ ГРУЗ,ГРУЗ (ТЯЖЕЛЫЙ ПРЕДМЕТ),,
26347,"ПРЕСС, ГНЕТ",ГРУЗ (ТЯЖЕЛЫЙ ПРЕДМЕТ),,
26348,СКАНИРОВАНИЕ ИЗОБРАЖЕНИЯ,АВТОМАТИЧЕСКОЕ РАСПОЗНАВАНИЕ ОБРАЗОВ,,
26349,"ПОНЯТНЫЙ (СПРАВЕДЛИВЫЙ, ОБОСНОВАННЫЙ)",ОБОСНОВАННЫЙ,,
26350,"РАЦИОНАЛЬНЫЙ (ОБОСНОВАННЫЙ, ЦЕЛЕСООБРАЗНЫЙ)",ОБОСНОВАННЫЙ,,
26351,"ПЛАНОВЫЙ, В СООТВЕТСТВИИ С ПЛАНОМ",ОБОСНОВАННЫЙ,,
26352,ОПРАВДАННЫЙ (ОБОСНОВАННЫЙ),ОБОСНОВАННЫЙ,,
26353,МОТИВИРОВАННЫЙ (ОБОСНОВАННЫЙ),ОБОСНОВАННЫЙ,,
26354,РАЗУМНЫЙ (ОБОСНОВАННЫЙ),ОБОСНОВАННЫЙ,,
26355,ФРАХТОВЫЙ ПЛАТЕЖ,АРЕНДНАЯ ПЛАТА,,
26356,КУЛЬТУРНОЕ НАСЛЕДИЕ,НАСЛЕДИЕ ПРОШЛОГО,,
26357,ТРАДИЦИЯ МНОГИХ ПОКОЛЕНИЙ,НАСЛЕДИЕ ПРОШЛОГО,,
26358,"ДОСТОЯНИЕ, ДУХОВНОЕ НАСЛЕДИЕ",НАСЛЕДИЕ ПРОШЛОГО,,
26359,ПОСТУПОК ЧЕЛОВЕКА,ДЕЙСТВИЕ ЧЕЛОВЕКА,,
26360,ВЫСКАЗАТЬ,ДЕЙСТВИЕ ЧЕЛОВЕКА,,
26361,БАЙБАК (ГРЫЗУН),СУРОК,,
26362,ГОСУДАРСТВЕННОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ,ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ,,
26363,МОНЕТНЫЙ ДВОР,ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ,,
26364,ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ,ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ,,
26365,ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26366,МЕТАЛЛООБРАБАТЫВАЮЩЕЕ ОБОРУДОВАНИЕ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26367,ПОТОЧНАЯ ЛИНИЯ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26368,МЕТАЛЛУРГИЧЕСКОЕ ОБОРУДОВАНИЕ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26369,ГИДРАВЛИЧЕСКОЕ ОБОРУДОВАНИЕ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26370,СТАНОК (ОБОРУДОВАНИЕ),ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26371,ПРОИЗВОДСТВЕННЫЙ КОНВЕЙЕР,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26372,ТЕХНОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26373,ОБОРУДОВАНИЕ ДЛЯ ТЕКСТИЛЬНОЙ ПРОМЫШЛЕННОСТИ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26374,ТЕХНОЛОГИЧЕСКАЯ ЕМКОСТЬ,ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ,,
26375,КУТАТЬ (ЗАВЕРНУТЬ),УКРЫТЬ (НАКРЫТЬ),,
26376,МАСЛИЧНАЯ КУЛЬТУРА,ПИЩЕВОЕ СЫРЬЕ,,
26377,ЗЕРНО ХЛЕБНЫХ ЗЛАКОВ,ПИЩЕВОЕ СЫРЬЕ,,
26378,САХАРНАЯ СВЕКЛА,ПИЩЕВОЕ СЫРЬЕ,,
26379,СОЛОД,ПИЩЕВОЕ СЫРЬЕ,,
26380,ЧАЙНЫЙ ЛИСТ,ПИЩЕВОЕ СЫРЬЕ,,
26381,СУКНО,ШЕРСТЯНАЯ ТКАНЬ,,
26382,ДРАП,ШЕРСТЯНАЯ ТКАНЬ,,
26383,ТВИД,ШЕРСТЯНАЯ ТКАНЬ,,
26384,КРЕП,ШЕРСТЯНАЯ ТКАНЬ,,
26385,КАШЕМИР,ШЕРСТЯНАЯ ТКАНЬ,,
26386,БОСТОН (ШЕРСТЯНАЯ ТКАНЬ),ШЕРСТЯНАЯ ТКАНЬ,,
26387,РУБЕРОИД,РУЛОННЫЙ МАТЕРИАЛ,,
26388,ЛИНОЛЕУМ,РУЛОННЫЙ МАТЕРИАЛ,,
26389,НЕФТЯНОЙ ГРУЗ,НЕФТЬ,,
26390,НЕСЛЫХАННЫЙ,ПОРАЗИТЕЛЬНЫЙ (НЕОБЫЧНЫЙ),,
26391,ПУНКТ ПЕРВОЙ ПОМОЩИ,МЕДИЦИНСКИЙ ПУНКТ,,
26392,ЛАК,ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26393,ОЛИФА,ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26394,ШПАТЛЕВКА (ЗАМАЗКА),ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26395,ЭМАЛЕВАЯ КРАСКА,ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26396,МАЛЯРНАЯ КРАСКА,ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26397,ГРУНТОВОЧНЫЙ СОСТАВ,ЛАКОКРАСОЧНАЯ ПРОДУКЦИЯ,,
26398,БИРЖЕВОЙ КУРС,РЫНОЧНАЯ ЦЕНА,,
26399,КУРСОВАЯ СТОИМОСТЬ,РЫНОЧНАЯ ЦЕНА,,
26400,ИСТОРИЧЕСКОЕ НАСЛЕДИЕ,КУЛЬТУРНОЕ НАСЛЕДИЕ,,
26401,ИСПОЛНЕНИЕ ПРИГОВОРА,ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО,,
26402,ГЕМОФИЛИЯ,НАСЛЕДСТВЕННОЕ ЗАБОЛЕВАНИЕ,,
26403,УВОЛЬНЕНИЕ В ЗАПАС,УВОЛЬНЕНИЕ С ВОЕННОЙ СЛУЖБЫ,,
26404,УВОЛЬНЕНИЕ В ОТСТАВКУ,УВОЛЬНЕНИЕ С ВОЕННОЙ СЛУЖБЫ,,
26405,ГОЛОДОВКА,ГОЛОДАТЬ (ВОЗДЕРЖИВАТЬСЯ ОТ ЕДЫ),,
26406,ЛЬГОТНАЯ СТАВКА,СТАВКА ОПЛАТЫ,,
26407,ТАРИФ,СТАВКА ОПЛАТЫ,,
26408,ОКЛАД,СТАВКА ОПЛАТЫ,,
26409,СДЕЛЬНЫЕ РАСЦЕНКИ,СТАВКА ОПЛАТЫ,,
26410,ПРОЦЕНТНАЯ СТАВКА,СТАВКА ОПЛАТЫ,,
26411,ЛЕЧЕБНЫЙ КУРОРТ,КРУГЛОГОДИЧНЫЙ КУРОРТ,,
26412,ПЕРЕКРАШИВАНИЕ ВОЛОС,"ПЕРЕКРАСИТЬ, ПОКРАСИТЬ ЗАНОВО",,
26413,ЯПОНСКИЙ ЯЗЫК,ИЗОЛИРОВАННЫЕ ЯЗЫКИ,,
26414,БАСКСКИЙ ЯЗЫК,ИЗОЛИРОВАННЫЕ ЯЗЫКИ,,
26415,КОРЕЙСКИЙ ЯЗЫК,ИЗОЛИРОВАННЫЕ ЯЗЫКИ,,
26416,ВЫДРА,ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26417,БОБР,ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26418,БЕГЕМОТ,ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26419,ПИЯВКА (ЧЕРВЬ),ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26420,ГИДРА (ПРЕСНОВОДНЫЙ ПОЛИП),ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26421,ПРЕСНОВОДНАЯ ГУБКА,ПРЕСНОВОДНОЕ ЖИВОТНОЕ,,
26422,СЕЙСМОСТОЙКОСТЬ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26423,ИММУНИТЕТ К БОЛЕЗНЯМ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26424,СТАБИЛЬНОСТЬ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26425,НЕЗЫБЛЕМЫЙ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26426,МОРОЗОСТОЙКИЙ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26427,"ЖИВУЧИЙ (ПРОЧНО СОХРАНЯЮЩИЙСЯ, УСТОЙЧИВЫЙ)",СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26428,ВОДОСТОЙКИЙ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26429,УДАРОПРОЧНЫЙ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26430,ТЕРМОСТОЙКОСТЬ,СТОЙКОСТЬ К ВОЗДЕЙСТВИЮ,,
26431,СМЕЛЫЙ (НЕПРИЛИЧНЫЙ),ВЫЗЫВАЮЩИЙ,,
26432,ЭКСТРАВАГАНТНЫЙ,ВЫЗЫВАЮЩИЙ,,
26433,ЭКСЦЕНТРИЧНЫЙ (ВЫЗЫВАЮЩИЙ),ВЫЗЫВАЮЩИЙ,,
26434,ТУРБОДИЗЕЛЬНЫЙ ДВИГАТЕЛЬ,ДИЗЕЛЬНЫЙ ДВИГАТЕЛЬ,,
26435,АРБИТР В СПОРЕ,ТРЕТЬЯ СТОРОНА,,
26436,ОБОСНОВАТЬ,"СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ",,
26437,УДОСТОВЕРЯТЬ,"СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ",,
26438,АККРЕДИТАЦИЯ (ПОДТВЕРЖДЕНИЕ ПОЛНОМОЧИЙ),"СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ",,
26439,"ПОДТВЕРДИТЬ, ПОДКРЕПИТЬ","СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ",,
26440,УЧЕТ РАБОЧЕГО ВРЕМЕНИ,УЧЕСТЬ (УСТАНОВИТЬ НАЛИЧИЕ ПУТЕМ ПОДСЧЕТА),,
26441,ГНЕВНЫЙ (ВЫРАЖАЮЩИЙ ГНЕВ),"СЕРДИТЫЙ (ВЫРАЖАЮЩИЙ РАЗДРАЖЕНИЕ, ГНЕВ)",,
26442,БИРЖЕВОЕ КОТИРОВАНИЕ,БИРЖЕВАЯ ОПЕРАЦИЯ,,
26443,"ХЕДЖИРОВАНИЕ, БИРЖЕВОЕ СТРАХОВАНИЕ",БИРЖЕВАЯ ОПЕРАЦИЯ,,
26444,СПОРТИВНЫЙ ОБЪЕКТ,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26445,МЕМОРИАЛЬНОЕ СООРУЖЕНИЕ,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26446,ЛЕСОПАРК,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26447,СОЦИАЛЬНО-КУЛЬТУРНОЕ УЧРЕЖДЕНИЕ,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26448,ЗДАНИЕ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26449,РАЗВЛЕКАТЕЛЬНОЕ СООРУЖЕНИЕ,ОБЪЕКТ СОЦИАЛЬНО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ,,
26450,КОЛХОЗ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26451,ФЕРМЕРСКОЕ ХОЗЯЙСТВО,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26452,ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26453,СОВХОЗ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26454,ПОТРЕБИТЕЛЬСКАЯ КООПЕРАЦИЯ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26455,КОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26456,НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26457,ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26458,ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26459,УЧРЕЖДЕНИЕ (ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА),ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26460,ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ,ОРГАНИЗАЦИОННО-ПРАВОВАЯ ФОРМА ПРЕДПРИЯТИЙ,,
26461,СУДЕБНЫЙ ИСК,ОБРАЩЕНИЕ В СУД,,
26462,ОБЖАЛОВАНИЕ В СУДЕБНОМ ПОРЯДКЕ,ОБРАЩЕНИЕ В СУД,,
26463,РУССКИЕ,РОССИЯНЕ,,
26464,КАЗАК,РОССИЯНЕ,,
26465,ТАТАРЫ,РОССИЯНЕ,,
26466,ЧЕЧЕНЦЫ,РОССИЯНЕ,,
26467,БУРЯТЫ,РОССИЯНЕ,,
26468,БАШКИРЫ,РОССИЯНЕ,,
26469,ДАГЕСТАНЦЫ,РОССИЯНЕ,,
26470,КАЛМЫКИ,РОССИЯНЕ,,
26471,ЧЕРКЕСЫ,РОССИЯНЕ,,
26472,МАРИЙЦЫ,РОССИЯНЕ,,
26473,МОРДВА,РОССИЯНЕ,,
26474,ТУВИНЦЫ,РОССИЯНЕ,,
26475,УДМУРТЫ,РОССИЯНЕ,,
26476,ХАКАСЫ,РОССИЯНЕ,,
26477,ЧУВАШИ,РОССИЯНЕ,,
26478,ЯКУТЫ,РОССИЯНЕ,,
26479,АЛТАЙЦЫ,РОССИЯНЕ,,
26480,КОМИ,РОССИЯНЕ,,
26481,КАРЕЛЫ,РОССИЯНЕ,,
26482,ИНГУШИ,РОССИЯНЕ,,
26483,КАБАРДИНЦЫ,РОССИЯНЕ,,
26484,АДЫГЕЙЦЫ,РОССИЯНЕ,,
26485,РУССКИЙ ЦАРЬ,РОССИЯНЕ,,
26486,СИБИРЯКИ,РОССИЯНЕ,,
26487,ТАТАРСТАНЦЫ,РОССИЯНЕ,,
26488,ВОЛЖАНИН,РОССИЯНЕ,,
26489,"УРАЛЬЦЫ, ЖИТЕЛИ УРАЛА",РОССИЯНЕ,,
26490,РАЙОННАЯ УПРАВА,АДМИНИСТРАЦИЯ РАЙОНА,,
26491,"АКЫН (НАРОДНЫЙ ПОЭТ-ПЕВЕЦ В КАЗАХСТАНЕ, КИРГИЗИИ)",КАЗАХИ,,
26492,АНОД,ЭЛЕКТРОД,,
26493,КАТОД,ЭЛЕКТРОД,,
26494,ЖИЗНЕРАДОСТНЫЙ,РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ),,
26495,БЛАГОДУШНЫЙ,РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ),,
26496,БЛАЖЕННЫЙ (ОЧЕНЬ СЧАСТЛИВЫЙ),РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ),,
26497,"ЗЛОПЫХАТЕЛЬСТВО, ЗЛОРАДСТВО",РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ),,
26498,ПРОСВЕТЛЕННЫЙ (СПОКОЙНЫЙ И РАДОСТНЫЙ),РАДОСТНЫЙ (ПОЛНЫЙ РАДОСТИ),,
26499,АРХЕОЛОГИЯ,ИСТОРИЧЕСКИЕ НАУКИ,,
26500,ГЕРАЛЬДИКА,ИСТОРИЧЕСКИЕ НАУКИ,,
26501,КРАЕВЕДЕНИЕ,ИСТОРИЧЕСКИЕ НАУКИ,,
26502,ИСТОРИОГРАФИЯ (ИСТОРИЧЕСКАЯ НАУКА),ИСТОРИЧЕСКИЕ НАУКИ,,
26503,ИСТОРИЧЕСКАЯ ГЕНЕАЛОГИЯ,ИСТОРИЧЕСКИЕ НАУКИ,,
26504,ЕГИПТОЛОГИЯ,ИСТОРИЧЕСКИЕ НАУКИ,,
26505,ИСТОРИЧЕСКАЯ ХРОНОЛОГИЯ,ИСТОРИЧЕСКИЕ НАУКИ,,
26506,ПРОИЗВЕДЕНИЕ ИСКУССТВА,ПРОИЗВЕДЕНИЕ (ПРОДУКТ ТРУДА),,
26507,"СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)",ПРОИЗВЕДЕНИЕ (ПРОДУКТ ТРУДА),,
26508,ПРИМАНИТЬ (ЗАМАНИТЬ ПРИМАНКОЙ),"ЗАМАНИТЬ, ЗАВЛЕЧЬ",,
26509,ПЕРЕМАНИТЬ К СЕБЕ,"ЗАМАНИТЬ, ЗАВЛЕЧЬ",,
26510,РАДИОЧАСТОТА,ЧАСТОТА В ЕДИНИЦУ ВРЕМЕНИ,,
26511,ТАКТОВАЯ ЧАСТОТА,ЧАСТОТА В ЕДИНИЦУ ВРЕМЕНИ,,
26512,ЧАСТОТНОСТЬ (ЧАСТОТА ПОЯВЛЕНИЯ),ЧАСТОТА В ЕДИНИЦУ ВРЕМЕНИ,,
26513,РАДИОСЛУШАТЕЛЬ,"СЛУШАТЕЛЬ, СЛУШАЮЩИЙ",,
26514,СТАПТЫВАНИЕ ОБУВИ,ИСКРИВИТЬ (ИЗОГНУТЬ),,
26515,ПРЯМОЛИНЕЙНЫЙ (ОТКРОВЕННЫЙ),"ГРУБЫЙ, РЕЗКИЙ",,
26516,ПОЛМЕТРА,ДЛИНА,,
26517,"РАДИУС КРУГА, ШАРА",ДЛИНА,,
26518,"ПОДБИТЬ, ПРИБИТЬ СНИЗУ","ПРИБИТЬ, ПРИКОЛОТИТЬ",,
26519,"СБИТЬ, СКОЛОТИТЬ","ПРИБИТЬ, ПРИКОЛОТИТЬ",,
26520,ВЛАДЕНИЕ АКЦИЯМИ,ВЛАДЕНИЕ ЦЕННЫМИ БУМАГАМИ,,
26521,ИГРА (РАЗВЛЕЧЕНИЕ),РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26522,РАЗВЛЕКАТЕЛЬНАЯ ПОЕЗДКА,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26523,ВОДНЫЕ РАЗВЛЕЧЕНИЯ,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26524,РАЗВЛЕЧЕНИЯ ДЛЯ ДЕТЕЙ,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26525,РАЗВЛЕКАТЕЛЬНАЯ ПРОГРАММА,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26526,ЭКСТРЕМАЛЬНЫЕ РАЗВЛЕЧЕНИЯ,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26527,АКТИВНЫЙ ОТДЫХ,РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ),,
26528,ПОЗИРОВАТЬ ПЕРЕД ФОТОГРАФОМ,ПОЗИРОВАТЬ ДЛЯ ИЗОБРАЖЕНИЯ,,
26529,КОММУНИКАТОР (КАРМАННЫЙ КОМПЬЮТЕР),КАРМАННЫЙ КОМПЬЮТЕР,,
26530,ВСКРЫТЬСЯ (ПРОРВАТЬСЯ НАРУЖУ),ЛОПНУТЬ (ТРЕСНУТЬ),,
26531,ФЕДЕРАЛЬНЫЙ СУД,ВНУТРИГОСУДАРСТВЕННЫЙ СУД,,
26532,КВИТАНЦИЯ,РАСПИСКА В ПОЛУЧЕНИИ,,
26533,РОМАНТИЧНЫЙ,"ЭМОЦИОНАЛЬНЫЙ, ПОДВЕРЖЕННЫЙ ЭМОЦИЯМ",,
26534,ВОСТОРЖЕННЫЙ,"ЭМОЦИОНАЛЬНЫЙ, ПОДВЕРЖЕННЫЙ ЭМОЦИЯМ",,
26535,"ЧУВСТВИТЕЛЬНЫЙ, СЕНТИМЕНТАЛЬНЫЙ","ЭМОЦИОНАЛЬНЫЙ, ПОДВЕРЖЕННЫЙ ЭМОЦИЯМ",,
26536,РУДА,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26537,МИНЕРАЛ,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26538,ГОРНАЯ ПОРОДА,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26539,ПОЛЕЗНЫЕ ИСКОПАЕМЫЕ,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26540,СТАЛАГМИТ,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26541,СТАЛАКТИТ,ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26542,"МУМИЕ, ГОРНАЯ СМОЛА",ПРИРОДНОЕ МИНЕРАЛЬНОЕ ОБРАЗОВАНИЕ,,
26543,ВЕКСЕЛЬНАЯ ОПЕРАЦИЯ,ЗАЕМ,,
26544,ОБЛИГАЦИОННЫЙ ЗАЕМ,ЗАЕМ,,
26545,ГОСУДАРСТВЕННЫЙ ЗАЕМ,ЗАЕМ,,
26546,ЗАЛОГОВАЯ ОПЕРАЦИЯ,ЗАЕМ,,
26547,"БУЯНИТЬ, БУЗИТЬ",БУЙНОЕ ПОВЕДЕНИЕ,,
26548,БЕЗРУКИЙ (ИНВАЛИД),КАЛЕКА,,
26549,ОРОСИТЕЛЬНЫЙ КАНАЛ,ИРРИГАЦИОННОЕ СООРУЖЕНИЕ,,
26550,ЗАЩИТА ПРАВ,ЗАЩИТА ГРАЖДАН,,
26551,РИЭЛТЕР,ПОСРЕДНИК,,
26552,АГЕНТ (ПРЕДСТАВИТЕЛЬ),ПОСРЕДНИК,,
26553,ФИНАНСОВЫЙ ПОСРЕДНИК,ПОСРЕДНИК,,
26554,ТОРГОВЫЙ ПОСРЕДНИК,ПОСРЕДНИК,,
26555,ПОСРЕДНИЧЕСКАЯ ОРГАНИЗАЦИЯ,ПОСРЕДНИК,,
26556,"ПРИМИРИТЕЛЬ, МИРОТВОРЕЦ",ПОСРЕДНИК,,
26557,АРБИТР В СПОРЕ,ПОСРЕДНИК,,
26558,РАЗГОВОРНЫЙ СТИЛЬ,ФУНКЦИОНАЛЬНЫЙ СТИЛЬ РЕЧИ,,
26559,ВОЕННОЕ ПРИСУТСТВИЕ,ВОЕННОЕ СОТРУДНИЧЕСТВО,,
